"Rk","Player","Age","Game","GS","MP","FG","FGA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG_","X3P_","FT_","MP_1","PTS_1","TRB_1","AST_1","STL_1","BLK_1","Round","Team"
"4","Paul Millsap","29","6","5","204","34","86","4","19","22","29","15","35","50","25","9","6","20","20","94","0.395","0.211","0.759","34","15.7","8.3","4.2","1.5","1","2","ATL"
"5","Dennis Schroder","21","6","0","125","23","60","5","14","14","17","4","15","19","32","5","0","8","14","65","0.383","0.357","0.824","20.8","10.8","3.2","5.3","0.8","0","2","ATL"
"6","Kyle Korver","33","6","6","228","15","48","12","42","0","1","1","25","26","11","9","9","13","16","42","0.313","0.286","0","38","7","4.3","1.8","1.5","1.5","2","ATL"
"7","Mike Muscala","23","5","0","59","12","20","2","6","0","0","6","7","13","0","0","1","1","10","26","0.6","0.333",,"11.8","5.2","2.6","0","0","0.2","2","ATL"
"8","Pero Antic","32","6","1","80","6","24","4","15","9","11","4","13","17","1","0","1","1","16","25","0.25","0.267","0.818","13.4","4.2","2.8","0.2","0","0.2","2","ATL"
"9","Kent Bazemore","25","6","0","91","8","16","3","6","5","8","0","13","13","4","4","4","4","8","24","0.5","0.5","0.625","15.2","4","2.2","0.7","0.7","0.7","2","ATL"
"10","Mike Scott","26","2","0","24","4","10","2","5","0","0","2","6","8","0","1","0","0","2","10","0.4","0.4",,"11.9","5","4","0","0.5","0","2","ATL"
"11","Shelvin Mack","24","2","0","9","1","2","0","1","0","0","0","0","0","1","1","0","1","1","2","0.5","0",,"4.5","1","0","0.5","0.5","0","2","ATL"
"12","John Jenkins","23","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,"0.9","0","0","0","0","0","2","ATL"
"1","Bradley Beal","21","6","6","251","54","129","14","36","29","34","9","25","34","30","10","4","17","11","151","0.419","0.389","0.853","41.8","25.2","5.7","5","1.7","0.7","2","WASH"
"2","Paul Pierce","37","6","6","184","29","66","19","39","7","8","0","29","29","5","3","4","4","21","84","0.439","0.487","0.875","30.7","14","4.8","0.8","0.5","0.7","2","WASH"
"3","Otto Porter","21","6","0","203","24","61","7","22","7","13","16","35","51","14","7","0","4","11","62","0.393","0.318","0.538","33.8","10.3","8.5","2.3","1.2","0","2","WASH"
"4","Marcin Gortat","30","6","6","182","25","47","0","0","5","7","15","33","48","10","3","3","7","17","55","0.532",,"0.714","30.4","9.2","8","1.7","0.5","0.5","2","WASH"
"5","John Wall","24","3","3","121","22","56","0","6","9","11","5","12","17","33","7","6","14","5","53","0.393","0","0.818","40.3","17.7","5.7","11","2.3","2","2","WASH"
"6","Ramon Sessions","28","6","3","152","18","52","5","16","8","13","2","14","16","17","4","0","7","7","49","0.346","0.313","0.615","25.3","8.2","2.7","2.8","0.7","0","2","WASH"
"7","Nene Hilario","32","6","6","160","19","44","0","0","7","14","15","23","38","11","5","3","9","18","45","0.432",,"0.5","26.6","7.5","6.3","1.8","0.8","0.5","2","WASH"
"8","Drew Gooden","33","6","0","96","10","28","5","12","7","8","4","24","28","4","2","5","9","14","32","0.357","0.417","0.875","15.9","5.3","4.7","0.7","0.3","0.8","2","WASH"
"9","Will Bynum","32","2","0","27","7","13","1","2","4","5","2","1","3","1","1","1","5","6","19","0.538","0.5","0.8","13.6","9.5","1.5","0.5","0.5","0.5","2","WASH"
"10","Kevin Seraphin","25","3","0","39","6","15","0","0","1","2","3","9","12","0","1","1","2","4","13","0.4",,"0.5","12.9","4.3","4","0","0.3","0.3","2","WASH"
"11","Garrett Temple","28","4","0","26","1","6","0","3","5","8","1","2","3","1","2","0","3","4","7","0.167","0","0.625","6.5","1.8","0.8","0.3","0.5","0","2","WASH"
"1","LeBron James","30","6","6","245","61","153","3","28","32","40","14","52","66","53","10","10","27","21","157","0.399","0.107","0.8","40.8","26.2","11","8.8","1.7","1.7","2","CLE"
"2","Kyrie Irving","22","6","6","209","31","73","9","21","34","38","1","12","13","16","8","4","11","9","105","0.425","0.429","0.895","34.8","17.5","2.2","2.7","1.3","0.7","2","CLE"
"3","Iman Shumpert","24","6","6","217","28","69","14","39","6","8","9","18","27","10","8","6","1","10","76","0.406","0.359","0.75","36.2","12.7","4.5","1.7","1.3","1","2","CLE"
"4","Tristan Thompson","23","6","5","222","21","39","0","0","14","17","24","43","67","2","0","9","3","14","56","0.538",,"0.824","37","9.3","11.2","0.3","0","1.5","2","CLE"
"5","J.R. Smith","29","4","0","116","18","36","12","27","3","3","2","14","16","4","2","2","4","11","51","0.5","0.444","1","29.1","12.8","4","1","0.5","0.5","2","CLE"
"6","Matthew Dellavedova","24","6","0","140","17","32","9","21","7","8","1","7","8","22","0","0","9","16","50","0.531","0.429","0.875","23.3","8.3","1.3","3.7","0","0","2","CLE"
"7","Timofey Mozgov","28","6","6","154","16","43","0","0","14","18","14","25","39","6","3","10","7","18","46","0.372",,"0.778","25.7","7.7","6.5","1","0.5","1.7","2","CLE"
"8","James Jones","34","6","0","72","11","25","10","24","2","2","0","9","9","1","1","0","1","12","34","0.44","0.417","1","12","5.7","1.5","0.2","0.2","0","2","CLE"
"9","Mike Miller","34","3","1","31","1","2","1","2","0","0","0","9","9","0","0","1","0","2","3","0.5","0.5",,"10.5","1","3","0","0","0.3","2","CLE"
"10","Kendrick Perkins","30","4","0","18","1","4","0","0","0","2","1","4","5","0","0","3","1","3","2","0.25",,"0","4.5","0.5","1.3","0","0","0.8","2","CLE"
"11","Joe Harris","23","2","0","4","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0",,,"2.1","0","0","0","0","0","2","CLE"
"12","Shawn Marion","36","2","0","11","0","2","0","0","0","0","1","1","2","0","0","0","0","1","0","0",,,"5.5","0","1","0","0","0","2","CLE"
"1","Derrick Rose","26","6","6","234","52","135","8","26","18","20","8","24","32","39","5","3","12","11","130","0.385","0.308","0.9","38.9","21.7","5.3","6.5","0.8","0.5","2","CHI"
"2","Jimmy Butler","25","6","6","254","44","108","13","35","25","29","10","24","34","15","14","4","7","18","126","0.407","0.371","0.862","42.3","21","5.7","2.5","2.3","0.7","2","CHI"
"3","Mike Dunleavy","34","6","6","208","23","48","10","25","12","13","4","20","24","13","6","4","7","14","68","0.479","0.4","0.923","34.6","11.3","4","2.2","1","0.7","2","CHI"
"4","Pau Gasol","34","4","4","109","19","39","0","0","8","9","6","17","23","9","2","7","5","5","46","0.487",,"0.889","27.2","11.5","5.8","2.3","0.5","1.8","2","CHI"
"5","Taj Gibson","29","6","2","146","18","36","0","0","10","14","11","20","31","4","1","5","2","15","46","0.5",,"0.714","24.4","7.7","5.2","0.7","0.2","0.8","2","CHI"
"6","Nikola Mirotic","23","6","0","81","11","36","3","14","15","18","5","10","15","1","3","4","4","15","40","0.306","0.214","0.833","13.6","6.7","2.5","0.2","0.5","0.7","2","CHI"
"7","Joakim Noah","29","6","6","194","12","36","0","0","6","10","25","37","62","12","3","8","11","18","30","0.333",,"0.6","32.3","5","10.3","2","0.5","1.3","2","CHI"
"8","Aaron Brooks","30","6","0","62","9","31","1","12","2","2","1","8","9","5","2","0","3","3","21","0.29","0.083","1","10.4","3.5","1.5","0.8","0.3","0","2","CHI"
"9","Kirk Hinrich","34","6","0","97","7","12","5","7","2","3","0","4","4","8","2","1","1","12","21","0.583","0.714","0.667","16.1","3.5","0.7","1.3","0.3","0.2","2","CHI"
"10","Tony Snell","23","5","0","42","5","15","3","7","2","2","0","6","6","2","0","1","0","2","15","0.333","0.429","1","8.3","3","1.2","0.4","0","0.2","2","CHI"
"11","Nazr Mohammed","37","2","0","7","1","4","0","1","0","0","2","2","4","0","0","0","0","0","2","0.25","0",,"3.4","1","2","0","0","0","2","CHI"
"12","ETwaun Moore","25","2","0","4","1","4","0","0","0","0","0","0","0","0","2","0","0","0","2","0.25",,,"2.1","1","0","0","1","0","2","CHI"
"13","Doug McDermott","23","2","0","3","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0",,,,"1.7","0","0.5","0.5","0","0","2","CHI"
"1","Stephen Curry","26","6","6","228","51","121","26","64","19","24","6","24","30","39","13","1","24","9","147","0.421","0.406","0.792","37.9","24.5","5","6.5","2.2","0.2","2","GS"
"2","Klay Thompson","24","6","6","224","42","88","15","32","8","11","4","25","29","20","5","4","20","14","107","0.477","0.469","0.727","37.3","17.8","4.8","3.3","0.8","0.7","2","GS"
